ra,dec,Source_Name,Type,Fx(uJy),Porb,Name2,Name3,Actual_Name,Object Type,Flag,New_Name,New_Type
8.23375,-73.80527778,J0032.9-7348    ,      ,0.2,          ,0,0,RX J0032.9-7348,HMXB,1,0.0,0.0
12.37333333,-73.18222222,J0049-732       ,P     ,0.04,          ,0,0,[MA93]  300,HMXB,1,0.0,0.0
12.26041667,-72.84777778,J0049-729       ,TP    ,0.5,          ,J0049.1-7250 ,0,RX J0049.0-7250,HMXB,1,0.0,0.0
13.02541667,-72.435, 0050-727       ,T     ,1,          ,SMC X-3      ,0,LIN 198,HMXB,1,0.0,0.0
12.68625,-73.26805556,J0050.7-7316    ,P     ,0.16,1.416,J0051-733    ,0,V* DZ Tuc,HMXB,1,0.0,0.0
12.7325,-72.23194444,J0051-722       ,TP    ,2.6,120,0,0,SSTISAGEMA J005054.79-721353.4,Candidate_RGB*,0,[MA93]  413,HMXB
12.97083333,-72.52916667,J0051.8-7231    ,TP    ,0.01,          ,2E0050.1-7247,0,AzV 102,HMXB,1,0.0,0.0
12.96416667,-73.17722222,J0051.9-7311    ,T     ,           ,          ,SMC 25       ,0,LIN 193,HMXB,1,0.0,0.0
13.05791667,-73.32027778,J0052.1-7319    ,TP    ,0.024,          ,0,0,2MASS J00521366-7319088,Candidate_RGB*,0,LIN 203,HMXB
13.225,-71.96888889,J0052.9-7158    ,TU    ,2,          ,SMC 32       ,0,LIN 221,HMXB,1,0.0,0.0
13.63916667,-73.68444444, 0053-739       ,T     ,1,          ,SMC X-2      ,0,X SMC X-2,HMXB,1,0.0,0.0
14.17625,60.71666667, 0053+604       ,      ,5,          ,0,0,* gam Cas B,Star,0,0.0,0.0
13.47916667,-72.44638889,J0053.8-7226    ,TP    ,1.4,139,0053-724     ,0,RX J0053.9-7226,HMXB,1,0.0,0.0
13.65,-72.06666667,J0054-720       ,TP    ,3.8,          ,0,0,2MASS J00543343-7203442,Candidate_RGB*,0,OGLE SMC-LPV-10913,LPV*
13.73404167,-72.441,J0055-724       ,TP    ,1,65,J0054.9-7226 ,0,[BS95] 259,Cl*,0,[MA93]  810,HMXB
14.45166667,-72.045,J0058-72.0      ,P     ,0.1,          ,J0058-7203   ,0,[MA93] 1036,HMXB,1,0.0,0.0
14.55291667,-72.5125,J0058.2-7231    ,      ,           ,          ,0,0,RX J0058.2-7231,HMXB,1,0.0,0.0
14.79708333,-71.64583333,J0059.2-7138    ,TUP   ,3,          ,0,0,RX J0059.2-7138,HMXB,1,0.0,0.0
15.25458333,-72.11583333,J0101.0-7206    ,T     ,0.1,          ,0,0,[MA93] 1240,HMXB,1,0.0,0.0
15.80791667,-72.15388889,J0103-722       ,P     ,0.01,          ,J0103.2-7209 ,0,[MA93] 1367,HMXB,1,0.0,0.0
17.27541667,-74.74444444, 0103-762       ,T     ,2.3,          ,0107-750     ,0,1H 0103-762,HMXB,1,0.0,0.0
