ra,dec,Source_Name,Type,Fx(uJy),Porb,Name2,Name3,Actual_Name,Object Type,Flag,New_Name,New_Type
11.21,33.02138889, 0042+323       ,T     ,0.5,          ,XN Per 1992  ,,4U 0042+32,LMXB,1,0.0,0.0
64.62458333,32.79,J0422+32        ,T     ,3000.0,5.1,             ,,0,0,0,CRTS J041848.7+324724,EB*
78.5275,-40.04361111, 0512-401       ,GB    ,3.0,          ,             ,,4U 0513-40,LMXB,1,0.0,0.0
80.12166667,-71.96, 0521-720       ,Z?    ,9.0,8.16,LMC X-2      ,,[CCH78] LMC X-2 22,Star,0,X LMC X-2,LMXB
83.17833333,-69.43833333,J0532.7-6926    ,      ,0.5,          ,             ,,2MASS J05324261-6926109,Candidate_YSO,0,EROS2-star lm002-3k-6017,LPV*
94.28041667,9.13694444, 0614+091       ,AB    ,50.0,          ,             ,,V* V1055 Ori,LMXB,1,0.0,0.0
95.68541667,-0.34583333, 0620-003       ,TU    ,0.02,7.75,N Mon 1975   ,,1A 0620-00,HMXB,1,0.0,0.0
104.6125,-7.26388889, 0656-072       ,T     ,20.0,          ,             ,,0,0,0,2E  1752,HMXB
117.14083329999998,-67.7525, 0748-676       ,TBD   ,0.1,3.82,             ,,V* UY Vol,LMXB,1,0.0,0.0
128.9833333,51.31,J0835.9+5118    ,TB    ,6.0,          ,             ,,SAX J0835.9+5118,LMXB,1,0.0,0.0
129.34583329999998,-42.88583333, 0836-429       ,TB    ,1.0,          ,             ,,4U 0836-42,LMXB,1,0.0,0.0
140.1116667,-55.20666667, 0918-549       ,      ,10.0,          ,             ,,4U 0919-54,LMXB,1,0.0,0.0
140.64458330000002,-63.295, 0921-630       ,D     ,3.0,216.2,             ,,V* V395 Car,LMXB,1,0.0,0.0
153.4,-45.07638889, 1009-45        ,TU    ,800.0,          ,XN Vel 1993  ,,V* MM Vel,HMXB,1,0.0,0.0
169.5452083,48.03691667,J1118+480       ,TA?   ,40.0,4.1,             ,,V* KV UMa,HMXB,1,0.0,0.0
171.61125,-68.67583333, 1124-684       ,TU    ,4.0,10.4,N Mus 1991   ,,V* GU Mus,HMXB,1,0.0,0.0
194.405,-69.28916667, 1254-690       ,BD    ,25.0,3.93,             ,,2XMM J125737.3-691721,X,0,V* GR Mus,LMXB
201.6504167,-62.13611111, 1323-619       ,BD    ,7.0,2.93,             ,,[ZRS2010] C,IR,0,4U 1323-62,LMXB
209.54041669999998,-64.73472222, 1354-645       ,TU    ,5.0,          ,Cen X-2      ,,V* BW Cir,HMXB,1,0.0,0.0
224.5916667,-31.66888889, 1455-314       ,TB    ,0.1,15.1,Cen X-4      ,,V* V822 Cen,LMXB,1,0.0,0.0
