ra,dec,Source_Name,Type,Fx(uJy),Porb,Final_Names,Final_Type
11.21,33.02138889, 0042+323       ,T     ,0.5,          ,4U 0042+32,LMXB
64.62458333,32.79,J0422+32        ,T     ,3000,5.1,CRTS J041848.7+324724,EB*
78.5275,-40.04361111, 0512-401       ,GB    ,3,          ,4U 0513-40,LMXB
80.12166667,-71.96, 0521-720       ,Z?    ,9,8.16,X LMC X-2,LMXB
83.17833333,-69.43833333,J0532.7-6926    ,      ,0.5,          ,EROS2-star lm002-3k-6017,LPV*
94.28041667,9.13694444, 0614+091       ,AB    ,50,          ,V* V1055 Ori,LMXB
95.68541667,-0.34583333, 0620-003       ,TU    ,0.02,7.75,1A 0620-00,HMXB
104.6125,-7.26388889, 0656-072       ,T     ,20,          ,2E  1752,HMXB
117.1408333,-67.7525, 0748-676       ,TBD   ,0.1,3.82,V* UY Vol,LMXB
128.9833333,51.31,J0835.9+5118    ,TB    ,6,          ,SAX J0835.9+5118,LMXB
129.3458333,-42.88583333, 0836-429       ,TB    ,1,          ,4U 0836-42,LMXB
140.1116667,-55.20666667, 0918-549       ,      ,10,          ,4U 0919-54,LMXB
140.6445833,-63.295, 0921-630       ,D     ,3,216.2,V* V395 Car,LMXB
153.4,-45.07638889, 1009-45        ,TU    ,800,          ,V* MM Vel,HMXB
169.5452083,48.03691667,J1118+480       ,TA?   ,40,4.1,V* KV UMa,HMXB
171.61125,-68.67583333, 1124-684       ,TU    ,4,10.4,V* GU Mus,HMXB
194.405,-69.28916667, 1254-690       ,BD    ,25,3.93,V* GR Mus,LMXB
201.6504167,-62.13611111, 1323-619       ,BD    ,7,2.93,4U 1323-62,LMXB
209.5404167,-64.73472222, 1354-645       ,TU    ,5,          ,V* BW Cir,HMXB
224.5916667,-31.66888889, 1455-314       ,TB    ,0.1,15.1,V* V822 Cen,LMXB
230.1704167,-57.16694444, 1516-569       ,TBA   ,5,398.4,V* BR Cir,HMXB
232.0716667,-61.88277778, 1524-617       ,TU    ,5,          ,V* KY TrA,LMXB
236.7858333,-47.66944444, 1543-475       ,TU    ,1,26.95,V* IL Lup,HMXB
236.9783333,-62.56805556, 1543-624       ,      ,35,          ,V* QU TrA,LMXB
237.7449167,-56.47638889,J1550-564       ,T     ,600,36.96,V* V381 Nor,HMXB
240.2595833,-60.73805556, 1556-605       ,      ,16,9.1,V* LU TrA,LMXB
241.4408333,25.8625, 1603.6+2600    ,      ,0.15,1.85,V* UW CrB,LMXB
240.975,-77.885,J1603.9-7753    ,TB    ,160,          ,J1603.9-7753    ,Unknown
243.1791667,-52.42305556, 1608-522       ,TBA   ,1,          ,V* QX Nor,LMXB
244.9795833,-15.64027778, 1617-155       ,Z     ,14000,18.9,V* V818 Sco,LMXB
247.01,-49.19027778, 1624-490       ,D     ,55,21,4U 1624-49,LMXB
248.07,-67.46194444, 1627-673       ,P     ,25,0.69,V* KZ TrA,LMXB
248.5016667,-47.39416667, 1630-472       ,TUD   ,2,          ,X Nor X-1,LMXB
249.1166667,-47.82694444, 1632-477       ,      ,13,          ,INTREF   709,LMXB
250.23125,-53.75138889, 1636-536       ,BA    ,220,3.8,V* V801 Ara,LMXB
251.44875,-45.61111111, 1642-455       ,Z     ,500,          ,4U 1642-45,LMXB
253.5005708,-39.84580556,J1655-40        ,TD    ,1600,62.88,V* V1033 Sco,HMXB
254.4575,35.3425, 1656+354       ,P     ,15,40.8,V* HZ Her,LMXB
255.52625,-29.94583333, 1658-298       ,TBD   ,5,7.11,MXB 1658-298,LMXB
255.70625,-48.78972222, 1659-487       ,TU    ,1.5,14.83,V* V821 Ara,HMXB
256.4354167,-36.42277778, 1702-363       ,Z     ,825,21.85,V* V1101 Sco,LMXB
256.56375,-43.03611111, 1702-429       ,BA    ,45,          ,X Ara X-1,LMXB
256.6441667,23.97166667, 1704+240       ,      ,0.5,          ,V* V934 Her,LPV*
257.0608333,-25.09138889, 1705-250       ,T     ,2,12.5,V* V2107 Oph,HMXB
257.2279167,-44.10055556, 1705-440       ,BA    ,10,          ,4U 1705-44,LMXB
258.0958333,-40.84333333, 1708-408       ,      ,32,          ,4U 1708-40,LMXB
257.3758333,-26.6575,J1709-267       ,TB    ,150,          ,RX J1709.5-2639,LMXB
257.55125,-28.13166667,J1710-281       ,TB(?) ,2,          ,[KRL2007b] 225,LMXB
258.58,-34.04944444, 1711-339       ,T     ,16,          ,4U 1711-34,LMXB
258.1416667,-37.64333333,J1712.6-3739    ,TB    ,34,          ,[KRL2007b] 228,LMXB
259.6975,-32.17777778, 1715-321       ,B     ,28,          ,1H 1715-321,LMXB
259.90375,-25.0175, 1716-249       ,T     ,1500,14.7,V* V2293 Oph,LMXB
259.6005417,-40.49177778,J171824.2-402934,B     ,1400,          ,RX J1718.4-4029,LMXB
260.9083333,-37.66166667,J1723-376       ,TB    ,70,          ,INTREF   776,LMXB
261.9125,-35.73444444, 1724-356       ,      ,32,          ,INTREF   782,LMXB
261.8883333,-30.80194444, 1724-307       ,GBA   ,15,          ,4U 1722-30,LMXB
262.9891667,-33.83472222, 1728-337       ,BA    ,150,          ,NAME Slow Burster,LMXB
262.9341667,-16.96166667, 1728-169       ,A     ,300,4.2,V* V2216 Oph,LMXB
263.0091667,-24.74555556, 1728-247       ,P     ,100,340,V* V2116 Oph,Symbiotic*
263.3833333,-31.21666667, 1730-312       ,T     ,900,          ,AX J1733.9-3112,LMXB
263.3504167,-33.38777778, 1730-335       ,GBT   ,0.1,          ,[ZGV2011] 9,LMXB
263.4875,-22.03527778, 1730-220       ,T     ,10,          ,4U 1730-22,LMXB
263.5541667,-26.08583333, 1731-260       ,BT    ,10,          ,KS 1731-260,LMXB
263.9483333,-30.48222222, 1732-304       ,GB    ,10,          ,[ZGV2011] 1,LMXB
264.0083333,-27.42583333, 1732-273       ,TU    ,5,          ,RX J1735.9-2726,LMXB
264.3541667,-29.18, 1734-292       ,      ,3.4,          ,OGLE BLG-ECL-46766,EB*
264.5666667,-27.00444444, 1735-269       ,B     ,10,          ,OGLE BLG-ECL-50820,EB*
264.7429167,-44.45, 1735-444       ,BA    ,160,4.65,V* V926 Sco,LMXB
264.6416667,-28.48333333, 1735-28        ,T     ,0.4,          ,4U 1735-28,LMXB
264.8875,-29.72388889, 1736-297       ,      ,2,          ,OGLE BLG-ECL-57098,EB*
264.9833333,-30.98333333, 1737-31        ,T     ,26,          ,INTREF   806,LMXB
265.2375,-28.31, 1737-282       ,      ,3,          ,2E 1737.5-2817,LMXB
265.6541667,-27.78305556, 1739-278       ,T     ,860,          ,OGLE BLG-ECL-72902,EB*
265.6833333,-30.51416667, 1739-304       ,      ,9,          ,INTREF   814,LMXB
265.9458333,-29.43333333, 1740-294       ,T(?)  ,30,          ,NAME GC X-4,LMXB
265.9779167,-29.74527778, 1740.7-2942    ,      ,4,          ,NAME Great Annihilator,LMXB
266.1058333,-29.0125, 1741.2-2859    ,      ,1.5,          ,Ginga 1741.6-2849,LMXB
266.2041667,-29.35166667, 1741-293       ,TB    ,5,          ,KS 1741-293,LMXB
266.2583333,-32.22722222, 1741-322       ,TU    ,2,          ,OGLE BLG-ECL-89800,EB*
266.2541667,-28.90166667, 1741.9-2853    ,TB    ,7,          ,2XMM J174502.1-285450,LMXB
266.3708333,-32.69416667, 1742-326       ,      ,2,          ,GPS 1742-326,LMXB
266.3608333,-28.98333333, 1742.2-2857    ,      ,0.1,          ,1E 1742.2-2857,LMXB
266.4041667,-29.45, 1742-294       ,B(T?) ,45,          ,[CFS78] GC X-2,LMXB
