Date_Observed,Proposal_ID,Target_ID,ra,dec,Observation_ID,Instrument,Time_Observed,SIMBAD_Name,Source_Type
2018-09-08,A04_104,T03,311.0407,-10.723457000000002,A04_104T03_9000002348:: Mrk 509,sxt,10:05:00,Mrk  509,Seyfert_1
2018-09-09,G08_081,T01,308.063667,37.637471999999995,G08_081T01_9000002350:: EXO 2030+375,sxt,06:55:34,V* V2246 Cyg,HMXB
2018-09-10,T02_087,T01,274.005787,-14.036283,T02_087T01_9000002352:: GX 17+2,laxpc2,04:06:12,V* NP Ser,LMXB
2018-09-11,T02_100,T01,248.506708,-47.393,T02_100T01_9000002354:: 4u1630-472,laxpc1,10:40:04,X Nor X-1,LMXB
2018-09-11,T02_104,T01,356.77015,51.70497,T02_104T01_9000002356:: 1ES2344+514,laxpc1,17:33:38,QSO B2344+514,BLLac
2018-09-12,G08_046,T09,237.370539,47.104903,G08_046T09_9000002358:: Sky-9_75_50,laxpc1,02:00:12,0.0,0.0
2018-09-12,T02_090,T01,83.633083,22.014494,T02_090T01_9000002360:: Crab,sxt,13:20:00,M   1,SNR
2018-09-12,G08_046,T09,237.370539,47.104903,G08_046T09_9000002362:: Sky-9_75_50,laxpc1,23:50:00,0.0,0.0
2018-09-13,T02_090,T01,83.633083,22.014494,T02_090T01_9000002364:: Crab,sxt,08:10:26,M   1,SNR
2018-09-13,C03_015,T03,12.08,85.223917,C03_015T03_9000002366:: NGC 188,uvit1,23:24:16,Cl* NGC  188    DGV     702,Star
2018-09-14,T02_091,T01,83.633083,22.014494,T02_091T01_9000002368:: Crab,laxpc2,03:51:22,M   1,SNR
2018-09-15,G08_012,T01,23.461667000000002,30.726667,G08_012T01_9000002370:: M33,uvit2,06:03:32,IFM-B 1049,Star
2018-09-17,T02_101,T01,248.506708,-47.393,T02_101T01_9000002372:: 4u1630-472,laxpc1,03:19:24,X Nor X-1,LMXB
2018-09-17,A04_230,T01,254.457542,35.342333,A04_230T01_9000002374:: Her X-1,laxpc1,08:09:52,V* HZ Her,LMXB
2018-09-18,T02_110,T01,248.811667,38.1525,T02_110T01_9000002376:: 4C +38.41,sxt,13:50:00,0.0,0.0
2018-09-19,A04_209,T01,24.17395,15.783660000000001,A04_209T01_9000002378:: NGC628,uvit1,19:50:00,[CHP2004] J013641.7+154701,X
2018-09-20,T02_094,T01,254.457546,35.342357,T02_094T01_9000002380:: Hercules X-1,uvit1,19:23:22,V* HZ Her,LMXB
2018-09-21,C03_015,T04,12.08,85.223917,C03_015T04_9000002382:: NGC 188,uvit1,19:29:36,Cl* NGC  188    DGV     702,Star
2018-09-21,T02_092,T01,254.457542,35.342333,T02_092T01_9000002384:: HER X-1,laxpc2,22:36:42,V* HZ Her,LMXB
2018-09-23,T02_109,T01,57.604029000000004,17.246509,T02_109T01_9000002386:: V471 Tau,sxt,00:42:06,V* V471 Tau,EB*
2018-09-27,T02_110,T01,248.811667,38.1525,T02_110T01_9000002388:: 4C +38.41,sxt,15:14:28,0.0,0.0
2018-09-28,T02_112,T01,267.60175,-29.037611,T02_112T01_9000002390:: SAX 1750.8-2009,sxt,00:50:00,SAX J1750.8-2900,LMXB
2018-10-01,A05_182,T02,26.012292000000002,61.888971999999995,A05_182T02_9000002392:: NGC 654(2),uvit1,03:23:04,EM* GGA   83,Be*
2018-10-01,A05_072,T05,294.998792,-30.96475,A05_072T05_9000002394:: NGC 6809,uvit2,09:57:14,M  55,GlCl
2018-10-02,A05_212,T08,332.880708,18.092833,A05_212T08_9000002396:: BD+17 4708,uvit2,10:37:50,BD+17  4708,SB*
2018-10-02,A05_212,T09,340.611792,-50.066917,A05_212T09_9000002398:: HE 2239-5019,uvit2,12:34:50,HE 2239-5019,Pec*
2018-10-02,A05_225,T04,39.960829,18.024279999999997,A05_225T04_9000002400:: NGC 1030,uvit1,14:26:10,NGC  1030,GinGroup
2018-10-02,A05_101,T04,322.680792,-60.001830000000005,A05_101T04_9000002402:: IC 5110,uvit1,20:10:22,IC 5110,IG
2018-10-02,A05_101,T04,322.680792,-60.001830000000005,A05_101T04_9000002402:: IC 5110,uvit1,21:55:34,IC 5110,IG
2018-10-03,A05_034,T01,310.463163,-32.43523,A05_034T01_9000002404:: AT Mic,sxt,07:36:08,V* AT Mic,Eruptive*
2018-10-04,A05_096,T04,69.95683299999999,-68.150389,A05_096T04_9000002406:: RX J0439.8-6809,uvit1,09:28:44,1ES 0439-68.2,CataclyV*
2018-10-05,C04_007,T01,83.633208,22.01446,C04_007T01_9000002408:: Crab,sxt,09:52:40,M   1,SNR
2018-10-05,A05_149,T04,316.7575,42.236111,A05_149T04_9000002410:: NGC 7027,uvit1,16:21:26,NGC  7027,PN
2018-10-05,A05_101,T01,314.637079,-49.28472,A05_101T01_9000002412:: ESO235-IG023,uvit1,21:16:36,MCL 26 205503.0-492842,GroupG
2018-10-06,A05_069,T02,312.258667,30.404971999999997,A05_069T02_9000002414:: NGC 6960-IV,uvit1,08:35:02,0.0,0.0
2018-10-07,A05_069,T03,311.885958,30.741139,A05_069T03_9000002416:: NGC 6960-V,uvit1,05:41:56,TYC 2687-2493-1,Star
2018-10-07,A05_069,T04,312.426,29.988861,A05_069T04_9000002418:: NGC 6960-VI,uvit1,20:33:42,0.0,0.0
2018-10-08,A05_069,T05,312.791042,30.071333000000003,A05_069T05_9000002420:: NGC 6960-VII,uvit1,18:59:24,0.0,0.0
2018-10-09,A05_069,T02,312.258667,30.404971999999997,A05_069T02_9000002422:: NGC 6960-IV,uvit1,16:18:54,0.0,0.0
2018-10-10,A05_069,T01,312.881625,29.067721999999996,A05_069T01_9000002424:: Cygnus S-1,uvit1,14:51:20,0.0,0.0
2018-10-11,A05_069,T03,311.885958,30.741139,A05_069T03_9000002426:: NGC 6960-V,uvit1,12:10:50,TYC 2687-2493-1,Star
2018-10-12,A05_069,T04,312.426,29.988861,A05_069T04_9000002428:: NGC 6960-VI,uvit1,10:41:42,0.0,0.0
2018-10-13,C04_007,T04,284.148642,-37.91015,C04_007T04_9000002430:: RX J1856.6-3754,sxt,08:04:16,PSR J1856-3754,Pulsar
2018-10-14,C04_007,T02,83.633208,22.01446,C04_007T02_9000002432:: Crab,sxt,08:15:52,M   1,SNR
2018-10-14,C04_008,T01,83.428,22.015,C04_008T01_9000002434:: Crab Offset,czt1,11:45:14,[SPB96]  854,UV
2018-10-15,A05_108,T01,359.253083,-34.680539,A05_108T01_9000002438:: Abell4059,uvit1,07:04:08,ESO 349-9,GinCl
2018-10-16,A05_174,T01,359.782958,-30.627969,A05_174T01_9000002440:: 1H 2354-315,sxt,07:23:22,QSO B2356-309,BLLac
2018-10-18,T03_018,T01,290.884121,-21.07593,T03_018T01_9000002442:: PMN J1923-2104,sxt,16:20:12,[VV2006] J192332.2-210433,QSO
2018-10-21,T03_020,T01,65.001675,-54.937938,T03_020T01_9000002444:: NGC1566,sxt,17:20:38,NGC  1566,Seyfert_1
2018-10-22,C04_001,T01,237.391917,70.348089,C04_001T01_9000002446:: Blank Sky-8,laxpc1,14:20:26,0.0,0.0
2018-10-23,A05_064,T01,174.11,70.1575,A05_064T01_9000002448:: Mrk 180,sxt,07:35:48,6C 113337+702604,BLLac
2018-10-24,A05_064,T01,174.11,70.1575,A05_064T01_9000002450:: Mrk 180,sxt,12:50:00,6C 113337+702604,BLLac
2018-10-25,C04_007,T07,333.879167,-17.734722,C04_007T07_9000002452:: XMMBlankF8,sxt,21:58:28,LBQS 2212-1759,QSO
2018-10-26,A05_212,T01,2.4699169999999997,-18.270139,A05_212T01_9000002454:: HE 0007-1832,uvit2,12:23:00,HE 0007-1832,Pec*
2018-10-26,A05_212,T01,2.4699169999999997,-18.270139,A05_212T01_9000002454:: HE 0007-1832,uvit2,14:00:28,HE 0007-1832,Pec*
2018-10-26,A05_002,T09,63.938042,-55.59225,A05_002T09_9000002456:: NGC 1549,uvit1,14:34:56,NGC  1549,GinPair
2018-10-26,A05_002,T09,63.938042,-55.59225,A05_002T09_9000002456:: NGC 1549,uvit1,14:46:02,NGC  1549,GinPair
2018-10-26,A05_002,T09,63.938042,-55.59225,A05_002T09_9000002456:: NGC 1549,uvit1,16:12:24,NGC  1549,GinPair
2018-10-26,A05_002,T07,64.476458,-55.93289,A05_002T07_9000002458:: IC 2058,uvit1,17:42:02,IC 2058,EmG
2018-10-26,A05_002,T07,64.476458,-55.93289,A05_002T07_9000002458:: IC 2058,uvit1,17:44:30,IC 2058,EmG
2018-10-26,A05_002,T07,64.476458,-55.93289,A05_002T07_9000002458:: IC 2058,uvit1,19:19:28,IC 2058,EmG
2018-10-26,A05_002,T10,64.04362900000001,-55.78014,A05_002T10_9000002460:: NGC 1553,uvit1,22:22:12,NGC  1553,GinPair
2018-10-26,A05_002,T10,64.04362900000001,-55.78014,A05_002T10_9000002460:: NGC 1553,uvit1,22:23:10,NGC  1553,GinPair
2018-10-27,A05_078,T01,6.022329,-72.08144399999999,A05_078T01_9000002462:: 47 Tuc,uvit1,06:21:56,PSR J0024-7204V,Pulsar
2018-10-28,A05_104,T04,356.757079,29.471109999999996,A05_104T04_9000002464:: arp86,uvit1,15:00:32,APG  86,PairG
2018-10-28,A05_101,T09,355.637292,-65.9565,A05_101T09_9000002466:: NGC 7733,uvit1,19:58:56,NGC  7733,Seyfert_2
2018-10-29,A05_225,T01,351.340621,28.495209999999997,A05_225T01_9000002468:: UGC 12591,uvit1,02:07:52,UGC 12591,Galaxy
2018-10-29,A05_101,T07,24.35625,-64.89639,A05_101T07_9000002470:: NGC 0646,uvit1,05:39:56,NGC   646,IG
2018-10-29,A05_202,T01,58.239625,-68.521333,A05_202T01_9000002472:: PKS 0352-686,sxt,10:16:04,2MASX J03525755-6831167,BLLac
2018-10-29,A05_225,T01,351.340621,28.495209999999997,A05_225T01_9000002470:: UGC 12591,uvit1,17:01:12,UGC 12591,Galaxy
2018-10-29,T03_024,T01,83.633083,22.0145,T03_024T01_9000002472:: Crab,czt1,20:04:36,M   1,SNR
2018-10-31,A05_059,T03,15.3725,-70.486583,A05_059T03_9000002474:: SMC_Shell_3,uvit1,13:12:32,SSTISAGEMA J010128.30-702836.9,Star
2018-10-31,A05_059,T04,16.168332999999997,-71.225083,A05_059T04_9000002476:: SMC_Shell_4,uvit1,16:05:52,2MASS J01044151-7113377,Candidate_RGB*
2018-10-31,A05_059,T05,17.05375,-70.969139,A05_059T05_9000002478:: SMC_Shell_5,uvit1,19:21:04,SSTISAGEMA J010816.88-705816.3,Star
2018-11-01,A05_059,T07,18.268333,-71.038389,A05_059T07_9000002480:: SMC_Shell_7,uvit1,00:50:00,SSTISAGEMA J011304.98-710148.1,Candidate_RGB*
2018-11-01,A05_101,T07,24.35625,-64.89639,A05_101T07_9000002482:: NGC 0646,uvit1,06:36:24,NGC   646,IG
2018-11-01,A05_202,T01,58.239625,-68.521333,A05_202T01_9000002484:: PKS 0352-686,sxt,10:10:48,2MASX J03525755-6831167,BLLac
2018-11-03,T03_015,T01,100.56472099999999,75.62573,T03_015T01_9000002486:: UGCA130,uvit1,00:41:24,Mrk    5,HII_G
2018-11-03,A05_004,T05,9.808417,40.9869,A05_004T05_9000002488:: M31 Field No. 17,uvit1,10:31:42,XMMM31 J003913.0+405850,X
2018-11-04,A05_004,T02,9.993958000000001,40.628717,A05_004T02_9000002490:: M31 Field No. 14,uvit1,07:35:52,EV* M31 V0144,V*
2018-11-05,A05_004,T07,10.193625,40.250211,A05_004T07_9000002492:: M31 Field No. 19,uvit1,00:22:18,XMMM31 J004045.8+401521,X
2018-11-05,A05_004,T04,10.510083,40.557781,A05_004T04_9000002494:: M31 Field No. 16,uvit1,19:31:16,2MASS J00420178+4033086,Star
2018-11-06,A05_140,T01,135.528583,-40.554694,A05_140T01_9000002496:: Vela X-1,laxpc1,16:44:46,V* GP Vel,HMXB
2018-11-07,A05_056,T01,53.458332999999996,-27.966666999999998,A05_056T01_9000002498:: CDFS03,uvit2,18:58:28,0.0,0.0
2018-11-10,T03_034,T01,160.990421,11.70381,T03_034T01_9000002500:: NGC 3351,uvit1,03:50:00,M  95,GinPair
2018-11-10,T03_034,T01,160.990421,11.70381,T03_034T01_9000002500:: NGC 3351,uvit1,13:12:48,M  95,GinPair
2018-11-10,A05_101,T05,341.835079,-65.05872,A05_101T05_9000002502:: IC 5250,uvit1,19:53:24,IC 5250,IG
2018-11-11,A05_074,T02,9.421279,-33.716331,A05_074T02_9000002504:: Cartwheel,uvit1,03:33:36,NAME Cartwheel,Galaxy
