,Title,URL,Sources,Authors,Keywords,Abstract
0,A machine learning approach for classification of accretion states of black hole binaries,https://ui.adsabs.harvard.edu/abs/2021MNRAS.502.1334S,"['IGR J17091-3624', 'MAXI J1535-571', 'GX 339-4', 'XTE J1859+226']","Sreehari, H., & Nandi, A.","accretion, accretion disc, black hole physics, methods: data analysis, X-rays: binaries, Astrophysics - High Energy Astrophysical Phenomena","In this paper, we employ Machine Learning algorithms on multimission observations for the classification of accretion states of outbursting black hole X-ray binaries for the first time. Archival data from RXTE, Swift, MAXI, and AstroSat observatories are used to generate the hardness intensity diagrams (HIDs) for outbursts of the sources XTE J1859+226 (1999 outburst), GX 339-4 (2002, 2004, 2007, and 2010 outbursts), IGR J17091-3624 (2016 outburst), and MAXI J1535-571 (2017 outburst). Based on variation of X-ray flux, hardness ratios, presence of various types of quasi-periodic oscillations (QPOs), photon indices, and disc temperature, we apply clustering algorithms like K-Means clustering and Hierarchical clustering to classify the accretion states (clusters) of each outburst. As multiple parameters are involved in the classification process, we show that clustering algorithms club together the observations of similar characteristics more efficiently than the 'standard' method of classification. We also infer that K-Means clustering provides more reliable results than Hierarchical clustering. We demonstrate the importance of the classification based on machine learning by comparing it with results from 'standard' classification."
1,Ultraviolet Imaging Telescope (UVIT) observation of the Galactic globular cluster NGC 7492,https://ui.adsabs.harvard.edu/abs/2021MNRAS.502..313K,"['Gaia DR2', 'NGC 7492']","Kumar, R., Pradhan, A. C., Mohapatra, A., Moharana, A., Ojha, D. K., Parthasarathy, M., & Murthy, J.","stars: evolution, Hertzsprung-Russell and colour-magnitude diagrams, stars: horizontal branch, globular clusters: individual: NGC 7492, ultraviolet: stars, Astrophysics - Astrophysics of Galaxies, Astrophysics - Solar and Stellar Astrophysics","We present detailed photometric observations of the Galactic globular cluster NGC 7492 using the data obtained with two far-ultraviolet (FUV; 1300-1800 Å) and three near-ultraviolet (NUV; 2000-3000 Å) filters of Ultraviolet Imaging Telescope (UVIT) onboard the AstroSat satellite. We confirmed the cluster membership of the extracted sources using Gaia data release 2 (Gaia DR2) proper motion data. We have used colour-magnitude diagrams (CMDs) using UVIT and GAIA filters to separate out different evolutionary stages of the stars present in the cluster. We have identified a new extreme horizontal branch (EHB) star at the core of the cluster using UV and UV-optical CMDs. The estimated distance modulus of the cluster is 16.95 ± 0.05 obtained by fitting BaSTI isochrones with cluster parameters, [Fe/H] = -1.8 dex and age =12.0 Gyr on the V - I versus V CMD. Interestingly, only the EHB star and blue horizontal branch stars (BHBs) among the UV-bright hot sources are detected in FUV filters of UVIT. We have derived the effective temperature of BHBs using colour-temperature relation and spectral energy distributions (SEDs) of multiband filters, which are in the range from 8000 to 10 500 K. We find a variation of He abundance of BHBs by fitting the BaSTI ZAHB (zero-age horizontal branch). The range in the He abundance of the BHBs corresponding to the best-fitting isochrones is from 0.247 to 0.350. We have estimated various physical parameters of the newly identified EHB star in the cluster using SED fit and post-HB evolutionary tracks. We have studied the radial distribution of all the sources of the cluster detected in UVIT. The sources detected in FUV filters extend beyond the half-light radius (1.15 arcmin) of the cluster, whereas the sources detected in NUV filters extend beyond the tidal radius (9.2 arcmin) of the cluster."
2,AstroSat view of IGR J17091-3624 and GRS 1915 + 105: decoding the 'pulse' in the 'Heartbeat State',https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.6123K,"['IGR J17091-3624', 'GRS 1915+105']","Katoch, T., Baby, B. E., Nandi, A., Agrawal, V. K., Antia, H. M., & Mukerjee, K.","accretion, accretion discs, black hole physics, stars: individual: IGR J17091-3624, GRS 1915 + 105, X-rays: binaries, Astrophysics - High Energy Astrophysical Phenomena","IGR J17091-3624 is a transient galactic black hole which has a distinct quasi-periodic variability known as 'heartbeat', similar to the one observed in GRS 1915 + 105. In this paper, we report the results of ˜125 ks AstroSat observations of this source during the 2016 outburst. For the first time, a double-peaked QPO (DPQ) is detected in a few time segments of this source with a difference of δf ˜ 12 mHz between the two peaks. The nature of the DPQ was studied based on hardness ratios and using the static as well as the dynamic power spectrum. Additionally, a low-frequency (25-48 mHz) 'heartbeat' single-peak QPO (SPQ) was observed at different intervals of time along with harmonics (50-95 mHz). Broad-band spectra in the range 0.7-23 keV, obtained with Soft X-ray Telescope and Large Area X-ray Proportional Counter, could be fitted well with combination of a thermal Comptonization and a multicolour disc component model. During AstroSat observation, the source was in the soft-intermediate state (SIMS) as observed with Swift/XRT. We present a comparative study of the 'heartbeat' state variability in IGR J17091-3624 with GRS 1915 + 105. Significant difference in the timing properties is observed although spectral parameters (Γ ˜ 2.1-2.4 and T<SUB>max</SUB> ˜ 0.6-0.8 keV) in the broad energy band remain similar. Spectral properties of segments exhibiting SPQ and DPQ are further studied using simple phase-resolved spectroscopy which does not show a significant difference. Based on the model parameters, we obtain the maximum ratio of mass accretion rate in GRS 1915 + 105 to that in IGR J17091-3624 as ˜25: 1. We discuss the implications of our findings and comment on the physical origin of these exotic variabilities."
3,Broad-band 'spectro-temporal' features of extragalactic black hole binaries LMC X-1 and LMC X-3: an AstroSat perspective,https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.5457B,"['LMC X-3', 'LMC X-1']","Bhuvana, G. R., Radhika, D., Agrawal, V. K., Mandal, S., & Nandi, A.","accretion, acretion discs, black hole physics, radiation mechanisms: general, stars: black holes, stars: individual: LMC X-1 and LMC X-3, X-rays: binaries","We present the first results of extragalactic black hole (BH) X-ray binaries LMC X-1 and LMC X-3 using all the archival and legacy observations by AstroSat during the period of 2016-2020. Broad-band energy spectra (0.5-20 keV) of both sources obtained from the Soft X-ray Telescope and Large Area X-ray Proportional Counter on-board AstroSat are characterized by strong thermal disc blackbody component (kT<SUB>in</SUB> ∼ 1keV, $f_{\mathrm{ disc}}\ 79{{\ \rm per\ cent}}$ ) along with a steep power-law (Γ ∼ 2.4-3.2). Bolometric luminosity of LMC X-1 varies from $7{\,\mathrm{ to}\,}10{{\ \rm per\ cent}}$ of Eddinon luminosity (L<SUB>Edd</SUB>) and for LMC X-3 is in the range $7{-}13{{\ \rm per\ cent}}$ of L<SUB>Edd</SUB>. We study the long-term variation of light curve using MAXI data and find the fractional variance to be ${\sim}25{{\ \rm per\ cent}}$ for LMC X-1 and ${\sim}53{{\ \rm per\ cent}}$ for LMC X-3. We examine the temporal properties of both sources and obtain fractional rms variability of power density spectrum in the frequency range 0.002-10 Hz to be ${\sim}9{}-17{{\ \rm per\ cent}}$ for LMC X-1, and ${\sim}7{}-11{{\ \rm per\ cent}}$ for LMC X-3. The 'spectro-temporal' properties indicate both sources are in thermally dominated soft state. By modelling the spectra with relativistic accretion disc model, we determine the mass of LMC X-1 and LMC X-3 in the range $7.64{-}10.00$ and $5.35{-}6.22\, \mathrm{ M}_{\odot }$ , respectively. We also constrain the spin of LMC X-1 to be in the range 0.82-0.92 and that of LMC X-3 in 0.22-0.41 with 90 per cent confidence. We discuss the implications of our results in the context of accretion dynamics around the BH binaries and compare it with the previous findings of both sources."
4,Thermonuclear X-ray bursts detected in Cyg X-2 using AstroSat/LAXPC,https://ui.adsabs.harvard.edu/abs/2021NewA...8301479D,['Cyg X-2'],"Devasia, J., Raman, G., & Paul, B.","X-Rays: Binaries, (Stars:) stars: Neutron, Accretion, Accretion discs, Astrophysics - High Energy Astrophysical Phenomena","We report the detection of 5 Type-1 thermonuclear X-ray bursts and one burst-like event in the neutron star LMXB source, Cyg X-2 using X-ray data obtained with the Large Area X-ray Proportional Counter (LAXPC) instrument on board AstroSat. We carry out an energy resolved burst profile analysis as well as time resolved spectral analysis for each of the bursts and characterize their properties. All bursts are weak with burst peak-to-persistent intensity ratios < 3, decay times ~ 1.2 s, and with fluences ~ 1 ×10<SUP>-8</SUP> ergs/cm<SUP>2</SUP>, indicating that the observed bursts are Helium fuelled flashes. An evolution of the blackbody temperature and radius is also observed during each burst. We carry out a search for Burst Oscillations (BO) and derive upper limits to the rms fractional amplitude for BO (for all the bursts) to be ~ 1%. We also carried out search for Quasi Periodic Oscillations (QPOs) in the power density spectra and we obtain upper limits to the fractional rms amplitude as ~ 3.4% at frequencies close to ~ 5.6 Hz. We further carry out spectral and timing analysis of the non-burst persistent emission along with a study of the hardness-intensity and colour-colour diagrams. Using results from our analysis we infer that during this observation in 2016, Cyg X-2 can be characterized as being in the early Flaring Branch (FB) with a puffed up accretion disk and a clumpy coronal structure while undergoing medium-to-high levels of accretion."
5,UVIT-HST-Gaia-VISTA study of KRON 3 in the Small Magellanic Cloud: A cluster with an extended red clump in UV,https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..441N,"['Kron 3', 'KRON 3']","Nayak, P. K., Subramaniam, A., Subramanian, S., Sahu, S., Mondal, C., Cioni, M.-R. L., Bell, C. P. M., Bandyopadhyay, A., & Chung, C.","(galaxies:) Magellanic Clouds, galaxies: star clusters, Astrophysics - Astrophysics of Galaxies, Astrophysics - Solar and Stellar Astrophysics","We have demonstrated the advantage of combining multi-wavelength observations, from the ultraviolet (UV) to near-infrared, to study Kron 3, a massive star cluster in the Small Magellanic Cloud. We have estimated the radius of the cluster Kron 3 to be 2 ${_{.}^{\prime}}$ 0 and for the first time, we report the identification of NUV-bright red clump (RC) stars and the extension of the RC in colour and magnitude in the NUV versus (NUV-optical) colour-magnitude diagram (CMD). We found that extension of the RC is an intrinsic property of the cluster and it is not due to contamination of field stars or differential reddening across the field. We studied the spectral energy distribution of the RC stars, and estimated a small range in temperature ∼5000-5500 K, luminosity ∼60-90 L<SUB>⊙</SUB> and radius ∼8.0-11.0 R<SUB>⊙</SUB> supporting their RC nature. The range of UV magnitudes amongst the RC stars (∼23.3 to 24.8 mag) is likely caused by the combined effects of variable mass loss, variation in initial helium abundance (Y<SUB>ini</SUB> = 0.23 to 0.28), and a small variation in age (6.5-7.5 Gyr) and metallicity ([Fe/H] = -1.5 to -1.3). Spectroscopic follow-up observations of RC stars in Kron 3 are necessary to confirm the cause of the extended RC."
6,Study of UV-bright stellar populations in the globular cluster NGC 1261 using Astrosat,https://ui.adsabs.harvard.edu/abs/2021MNRAS.501.2140R,['NGC 1261'],"Rani, S., Pandey, G., Subramaniam, A., Sahu, S., & Rao, N. K.","blue stragglers, Hertzsprung-Russell and colour-magnitude diagrams, stars: horizontal branch, globular clusters: individual: NGC 1261, Astrophysics - Solar and Stellar Astrophysics, Astrophysics - Astrophysics of Galaxies","We present UV photometry of the globular cluster NGC 1261 using images acquired with the Ultraviolet Imaging Telescope (UVIT) on board Astrosat. We performed point-spread function (PSF) photometry on four near-UV (NUV) and two far-UV (FUV) images and constructed UV colour-magnitude diagrams (CMDs), in combination with the Hubble Space Telescope (HST), Gaia, and ground-based optical photometry for member stars. We detected the full horizontal branch (HB) in the NUV and blue HB in the FUV and identified two extreme HB (EHB) stars. HB stars have a tight sequence in UV-optical CMDs, well fitted with isochrones generated (age 12.6 Gyr, [Fe/H] = -1.27 metallicity) using updated BaSTI-IAC models. Effective temperatures (T<SUB>eff</SUB>), luminosities, and radii of bright HB stars were estimated using the spectral energy distribution. As we detect the complete sample of UV-bright HB stars, the hot end of the HB distribution is found to terminate at the G-jump ( $T_{\rm eff}\, \sim$ 11500 K). The two EHB stars, fitted well with single spectra, have T<SUB>eff</SUB> = 31000 K and a mass = 0.495 M<SUB>⊙</SUB>, and follow the same T<SUB>eff</SUB>-radius relation as the blue HB stars. We constrain the formation pathways of these EHB stars to extreme mass loss in the RGB phase (due either to rotation or enhanced helium) or a early hot-flash scenario."
7,The First Extensive Exploration of UV-bright Stars in the Globular Cluster NGC 2808,https://ui.adsabs.harvard.edu/abs/2021ApJ...908...66P,['NGC 2808'],"Prabhu, D. S., Subramaniam, A., & Sahu, S.","Globular star clusters, Post-asymptotic giant branch stars, Ultraviolet photometry, Hertzsprung Russell diagram, Horizontal branch stars, 656, 2121, 1740, 725, 746, Astrophysics - Solar and Stellar Astrophysics, Astrophysics - Astrophysics of Galaxies","In this study, we identified and characterized the hot and luminous UV-bright stars in the globular cluster NGC 2808. We combined data from the Ultra Violet Imaging Telescope (UVIT) on board the Indian space satellite AstroSat with the Hubble Space Telescope UV Globular Cluster Survey data for the central region (within $\sim 2\buildrel{\,\prime}\over{.} 7\times 2\buildrel{\,\prime}\over{.} 7$ ) and Gaia and ground-based optical photometry for the outer parts of the cluster. We constructed the UV and UV-optical color-magnitude diagrams, compared the horizontal branch (HB) members with the theoretical zero- and terminal-age HB models, and identified 34 UV-bright stars. The spectral energy distributions of the UV-bright stars were fitted with theoretical models to estimate their effective temperatures (12,500-100,000 K), radii (0.13-2.2 R<SUB>⊙</SUB>), and luminosities (∼40-3000 L<SUB>⊙</SUB>) for the first time. These stars were then placed on the Hertzsprung-Russell diagram, along with theoretical post-HB evolutionary tracks, to assess their evolutionary status. The models suggest that most of these stars are in the asymptotic giant branch (AGB)-manqué phase, and all except three have evolutionary masses <0.53 M<SUB>⊙</SUB>. We also calculated the theoretically expected number of hot post-(early)-AGB stars in this cluster and found the range to match our observations. Seven UV-bright stars located in the outer region of the cluster, identified from the AstroSat/UVIT images, are ideal candidates for detailed follow-up spectroscopic studies."
8,A Virgo Environmental Survey Tracing Ionised Gas Emission (VESTIGE). IX. The effects of ram pressure stripping down to the scale of individual HII regions in the dwarf galaxy IC 3476,https://ui.adsabs.harvard.edu/abs/2021A&A...646A.139B,['IC 3476'],"Boselli, A., Lupi, A., Epinat, B., Amram, P., Fossati, M., Anderson, J. P., Boissier, S., Boquien, M., Consolandi, G., Côté, P., Cuillandre, J. C., Ferrarese, L., Galbany, L., Gavazzi, G., Gómez-López, J. A., Gwyn, S., Hensler, G., Hutchings, J., Kuncarayakti, H., Longobardi, A., Peng, E. W., Plana, H., Postma, J., Roediger, J., Roehlly, Y., Schimd, C., Trinchieri, G., & Vollmer, B.","galaxies: clusters: general, galaxies: clusters: individual: Virgo, galaxies: evolution, galaxies: interactions, galaxies: ISM, Astrophysics - Astrophysics of Galaxies","We study the IB(s)m galaxy IC 3476 observed in the context of the Virgo Environmental Survey Tracing Ionised Gas Emission (VESTIGE), a blind narrow-band Hα+[NII] imaging survey of the Virgo cluster carried out with MegaCam at the CFHT. The deep narrow-band image reveals a very pertubed ionised gas distribution that is characterised by a prominent banana-shaped structure in the front of the galaxy formed of giant HII regions crossing the stellar disc. Star-forming structures, at ∼8 kpc from the edges of the stellar disc, are also detected in a deep far-ultraviolet ASTROSAT/UVIT image. This particular morphology indicates that the galaxy is undergoing an almost edge-on ram pressure stripping event. The same Hα+[NII] image also shows that the star formation activity is totally quenched in the leading edge of the disc, where the gas has been removed during the interaction with the surrounding medium. The spectral energy distribution fitting analysis of the multi-frequency data indicates that this quenching episode is very recent (∼50 Myr), and roughly corresponds to an increase of the star formation activity by a factor of ∼161% in the inner regions with respect to that expected for secular evolution. The analysis of these data, whose angular resolution enables the study of the induced effects of the perturbation down to the scale of individual HII regions (r<SUB>eq</SUB> ≃ 40 pc), also suggests that the increase of star formation activity is due to the compression of the gas along the stellar disc of the galaxy, which is able to increase its mean electron density and boost the star formation process producing bright HII regions with luminosities up to L(Hα) ≃ 10<SUP>38</SUP> erg s<SUP>-1</SUP>. The combined analysis of the VESTIGE data with deep IFU spectroscopy gathered with MUSE and with high spectral resolution Fabry Perot data also indicates that the hydrodynamic interaction has deeply perturbed the velocity field of the ionised gas component while leaving that of the stellar disc unaffected. The comparison of the data with tuned high-resolution hydrodynamic simulations accounting for the different gas phases (atomic, molecular, ionised) consistently indicates that the perturbing event is very recent (50-150 Myr), once again confirming that ram pressure stripping is a violent phenomenon that is able to perturb the evolution of galaxies in rich environments on short timescales."
9,UOCS. III. UVIT catalogue of open clusters with machine learning based membership using Gaia EDR3 astrometry,https://ui.adsabs.harvard.edu/abs/2021MNRAS.tmp..246J,"['Gaia EDR3', 'King 2', 'NGC 2420', 'NGC 2477', 'NGC 6940', 'Berkeley 67', 'NGC 2682']","Jadhav, V. V., Pennock, C. M., Subramaniam, A., Sagar, R., & Nayak, P. K.","(stars:) Hertzsprung, Russell and colour, magnitude diagrams, ultraviolet: stars, (Galaxy:) open clusters and associations: individual: Berkeley 67, King 2, NGC 2420, NGC 2477, NGC 2682, NGC 6940, methods: data analysis, catalogues, Astrophysics - Astrophysics of Galaxies, Astrophysics - Solar and Stellar Astrophysics","We present a study of six open clusters (Berkeley 67, King 2, NGC 2420, NGC 2477, NGC 2682 and NGC 6940) using the Ultra Violet Imaging Telescope (UVIT) aboard ASTROSAT and Gaia EDR3. We used combinations of astrometric, photometric and systematic parameters to train and supervise a machine learning algorithm along with a Gaussian mixture model for the determination of cluster membership. This technique is robust, reproducible and versatile in various cluster environments. In this study, the Gaia EDR3 membership catalogues are provided along with classification of the stars as members, candidates and field in the six clusters. We could detect 200-2500 additional members using our method with respect to previous studies, which helped estimate mean space velocities, distances, number of members and core radii. UVIT photometric catalogues, which include blue stragglers, main-sequence and red giants are also provided. From UV-Optical colour-magnitude diagrams, we found that majority of the sources in NGC 2682 and a few in NGC 2420, NGC 2477 and NGC 6940 showed excess UV flux. NGC 2682 images have ten white dwarf detection in far-UV. The far-UV and near-UV images of the massive cluster NGC 2477 have 92 and 576 members respectively, which will be useful to study the UV properties of stars in the extended turn-off and in various evolutionary stages from main-sequence to red clump. Future studies will carry out panchromatic and spectroscopic analysis of noteworthy members detected in this study."
